BEGIN CH1_DATA
Freq,[GHz],dB(St(P1_T1,P1_T1)),[],ang_deg(St(P1_T1,P1_T1)),[deg],dB(St(P1_T1,P2_T1)),[],ang_deg(St(P1_T1,P2_T1)),[deg],dB(St(P2_T1,P1_T1)),[],ang_deg(St(P2_T1,P1_T1)),[deg],dB(St(P2_T1,P2_T1)),[],ang_deg(St(P2_T1,P2_T1)),[deg]
10000000,-15.599281,-0.55459833,-1.5537273,0.009875014,-1.5456035,0.041163884,-15.711373,-0.35114801
260000000,-15.831429,-10.738321,-1.567154,-2.873575,-1.5708148,-2.799156,-15.739114,-10.398969
510000000,-15.902276,-21.549589,-1.666847,-4.8659563,-1.6715697,-4.7987247,-15.864292,-20.937485
760000000,-16.083725,-31.270403,-1.7610073,-6.8489213,-1.7684646,-6.7600694,-16.002344,-31.614931
1010000000,-16.428568,-37.992222,-1.8399383,-8.9396276,-1.8471552,-8.8373413,-16.327436,-37.971775
1260000000,-16.424007,-47.888218,-1.9242483,-10.514329,-1.9329067,-10.409203,-16.203447,-47.810711
1510000000,-16.420519,-51.624653,-2.0847595,-12.401216,-2.0946743,-12.299271,-16.341795,-52.17551
1760000000,-16.276407,-57.797035,-2.1974475,-13.816343,-2.2153032,-13.700328,-16.142429,-58.199402
2010000000,-15.896378,-65.205353,-2.2698185,-15.565863,-2.2847481,-15.421413,-15.69753,-65.714668
2260000000,-15.901306,-71.11425,-2.4327805,-17.045702,-2.4432082,-16.886852,-15.720249,-72.091064
2510000000,-15.676799,-76.856865,-2.5599778,-18.367235,-2.5702872,-18.186974,-15.627502,-77.270042
2760000000,-15.571278,-82.859634,-2.7021134,-19.658157,-2.7106256,-19.477617,-15.393757,-82.868538
3010000000,-15.580196,-88.209343,-2.829802,-20.686768,-2.832751,-20.499937,-15.422127,-88.781403
3260000000,-15.400118,-93.006897,-2.9638636,-21.828398,-2.9654357,-21.636869,-15.152172,-93.317482
3510000000,-15.403378,-98.054207,-3.0810449,-22.916288,-3.0830386,-22.742592,-15.200758,-98.807076
3760000000,-15.371289,-101.58617,-3.225085,-23.798531,-3.2277894,-23.639456,-15.199827,-102.35464
4010000000,-15.274604,-105.55743,-3.3195834,-24.666176,-3.3246322,-24.493086,-15.132963,-106.17123
4260000000,-15.183123,-108.87407,-3.4399211,-25.558489,-3.4441698,-25.391048,-14.932893,-109.52154
4510000000,-15.136568,-112.53185,-3.5436931,-26.41091,-3.5491636,-26.247017,-14.897774,-113.19317
4760000000,-15.042691,-115.3064,-3.6525416,-27.239372,-3.6557438,-27.06838,-14.818326,-115.98882
5010000000,-14.914145,-118.52515,-3.7691965,-27.995924,-3.7722764,-27.808445,-14.671389,-119.09826
5260000000,-14.859632,-121.61668,-3.8681517,-28.694838,-3.8715475,-28.493658,-14.638,-122.33479
5510000000,-14.818213,-124.70255,-3.9534435,-29.357531,-3.9578104,-29.131334,-14.599456,-125.33382
5760000000,-14.836235,-127.03082,-4.038929,-30.106798,-4.0434198,-29.87409,-14.582822,-127.62402
6010000000,-14.792187,-129.18988,-4.130897,-30.78244,-4.1371431,-30.540621,-14.514334,-130.04749
6260000000,-14.711021,-131.61157,-4.209074,-31.381376,-4.2139463,-31.135712,-14.461419,-132.51007
6510000000,-14.707112,-133.78947,-4.2871084,-32.087505,-4.2925868,-31.824322,-14.464599,-134.54411
6760000000,-14.659976,-135.62152,-4.3662944,-32.7416,-4.3734336,-32.456638,-14.411047,-136.65076
7010000000,-14.631941,-137.59959,-4.4507775,-33.373665,-4.4586296,-33.094929,-14.397978,-138.48436
7260000000,-14.605322,-139.36469,-4.528192,-33.977974,-4.5356402,-33.686707,-14.356511,-140.2075
7510000000,-14.528697,-140.92854,-4.6029205,-34.508846,-4.6106095,-34.226887,-14.276367,-142.01627
7760000000,-14.44971,-142.77692,-4.6650944,-35.072712,-4.6719184,-34.7756,-14.243156,-143.7708
